	seq_start	importance	length	group_number	is_leader	leader_strength	proximity_label	seq_end	child_sequence_ix	proximity_label_min_start	proximity_label_best_start	proximity_label_best_imp	proximity_label_best_length	parent_seqs
6000	338516	0.0	10.0	300.0	1.0	0.30336390090527604	94	341961	[339464, 340492, 339991, 340507, 338460, 340530, 338487, 338493, 339524, 338502, 338506, 338507, 340555, 338509, 340056, 340059, 340571, 340574, 340065, 340577, 338535, 339559, 341612, 340088, 339576, 338555, 338570, 340618, 339603, 338582, 339102, 338596, 340662, 340152, 338622, 341200, 339672, 339673, 340706, 339178, 341230, 340214, 340216, 339207, 339723, 339728, 339217, 340754, 341276, 340258, 341804, 341807, 338747, 340800, 340309, 340313, 340319, 340341, 341878, 339324, 340349, 340365, 338831, 340880, 339864, 341408, 340390, 339892, 340926, 341440, 340421, 340422, 339911, 339414, 340445, 338911, 338920, 339446]	338309	338516	0.0	10.0	[338570, 338582, 338596, 336753, 338535, 338493, 338506, 338460, 338555, 338502, 338415, 338487, 338460, 338331, 337029, 337319, 338314, 337371, 338509, 338460, 338012, 338507, 337523, 337028, 336974, 337131, 336757, 337303, 338309, 337371]
960	158308	1.181025187841798e-07	3.0	48.0	1.0	0.3133106577207933	175	159341	[158315, 158639]	158308	158308	1.181025187841798e-07	3.0	[155274, 155450, 157107, 158315, 157400, 156651, 156763, 157703, 157372, 157999, 155573, 157701, 157271, 156268, 157953, 157628, 156269, 156425, 157166, 157342, 156616, 157294, 156199, 157464, 155982, 156208, 156016, 154972, 156551, 157591, 156927, 156691, 157485, 156556, 156581, 156241, 156789, 155902, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661]
1320	34146	1.0123073038643982e-07	3.5	66.0	1.0	0.3198197229810659	50	35351	[34818, 35333, 34575, 35221, 34330, 34715, 34588, 34461, 34206, 34472, 34217, 34093, 34228, 34229, 34377, 34127, 34900, 34266, 34269, 34147, 34404, 34155, 34671, 34800, 34162, 34426, 34683, 34429]	33775	33841	1.4914936469962332	10.0	[33896, 34217, 34155, 34162, 34229, 34147, 34057, 34030, 33881, 34127, 33784, 33879, 33808, 33775, 34206, 33934, 34093, 34228, 33813, 33841]
980	347227	0.0	3.0	49.0	1.0	0.3229534983079022	171	348260	[347459, 347364, 347523, 347207, 347272, 347177, 347469, 347757, 347759, 347156, 347445, 347767, 347256, 347257, 347517]	346461	346505	1.787105461532013	9.0	[346611, 347257, 347136, 347177, 347156, 347023, 346723, 347127, 346783, 347256, 346898, 347272, 345697, 347207, 346510, 346461, 346461, 346461, 346461, 346505, 346866, 347039, 346706]
360	289697	1.2526663786125774e-07	2.0	18.0	1.0	0.3322840555781507	156	290386	[]	289697	289697	1.2526663786125774e-07	2.0	[288566, 287565, 287475, 287567, 287861, 289067, 289067, 288835, 288781, 289161, 289132, 288805, 289357, 288894, 289259, 288945, 289311, 288789, 288781, 289346, 288850, 288781, 289258, 289099, 289044, 288978, 288845, 289043, 288819, 288781, 288799, 287476, 287424, 288605, 287916, 287714, 287611, 288497, 287484]
2820	309302	0.0	5.5	141.0	1.0	0.33490330246129	90	311196	[310656, 310020, 310148, 309384, 309896, 310153, 310409, 309644, 310541, 310672, 309905, 310034, 310421, 310167, 309786, 309659, 310428, 310682, 310561, 309282, 309667, 309925, 310183, 310311, 309550, 310576, 310065, 309299, 310067, 309303, 310326, 309433, 309818, 310074, 310713, 310714, 311095, 309824, 310080, 310082, 310595, 310087, 310985, 310474, 309709, 309837, 309334, 310103, 310107, 310243, 310116, 310499, 309478, 310382, 310256, 310258, 309880, 309243, 310654, 309503]	308586	309709	0.8822457023797617	10.0	[309299, 308825, 309303, 308949, 309103, 309102, 308825, 309243, 309282, 309021, 309021, 309021, 309021, 309021, 308840, 308839, 309211, 308781, 308763, 309384, 309118, 309188, 309188, 308586, 308586, 308586, 308586, 308841, 308796, 309133, 308856, 309334, 308781, 308781, 308586, 308586, 308586, 308586, 308586, 308586, 308586, 308586, 308858, 308797, 308791, 309025, 309121, 308903, 308795, 308893, 309096, 308890, 308781, 309063, 308883, 308799, 308586, 308586, 308586, 308586, 308586, 308586, 308586, 308586, 308586, 308635, 308801, 308781]
5620	155274	7.873501252278653e-08	9.0	281.0	1.0	0.3365603694806499	169	158374	[157701, 157703, 156691, 156199, 156718, 156208, 156723, 156215, 156224, 156228, 156748, 156241, 155218, 155220, 157271, 156760, 156763, 155230, 158308, 158315, 156268, 156269, 157294, 155761, 156786, 156789, 155766, 155261, 156803, 156297, 155276, 156305, 157342, 156329, 156853, 157372, 155848, 156872, 156362, 155338, 155346, 155351, 157400, 155902, 156927, 157953, 156425, 156937, 155919, 155409, 156436, 157464, 157485, 157999, 156465, 155450, 156480, 155460, 155982, 155985, 155482, 156511, 155494, 155502, 156016, 156551, 156553, 156556, 157591, 156579, 155556, 156581, 157107, 157619, 155573, 157628, 156616, 156622, 156636, 157661, 156644, 156647, 156651, 157166, 156655]	154536	154756	1.901261814217534	10.0	[154897, 155011, 155148, 155338, 155351, 155276, 155261, 154742, 155020, 155095, 154617, 155057, 155346, 154663, 154960, 154658, 155012, 154972, 154802, 155039, 154959, 155148, 154663, 155055, 155220, 155218, 155046, 154686, 154780, 154731, 154725, 154845, 155013, 154731, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154756, 155230, 154585, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154580]
620	350030	0.0	2.5	31.0	1.0	0.3384763658998848	114	350891	[349955, 350364, 350496, 350625, 350502, 350767, 350127, 350001, 350260, 350390, 350391, 350648, 350524, 350783, 350659, 350798, 350160, 350304, 350444, 350586, 350076]	349720	350925	1.0081285985619481	10.0	[348831, 349185, 349862, 349888, 349155, 349270, 349046, 350001, 348931, 349166, 348850, 348684, 349772, 348938, 350076, 349720, 347207, 349080, 349393, 348896, 347445, 348917, 349191, 349292, 349230, 349343, 349358, 349955, 349798, 348786]
1340	26060	0.0	3.5	67.0	1.0	0.34206870576970855	8	27265	[26341, 26538, 26065, 26194, 26297, 26364, 26366]	25739	25794	0.9938796115321821	4.5	[26065, 25929, 25965, 25807, 25807, 25764, 25160, 25739, 24846, 25794, 24767, 24679, 24624, 24778]
5220	155450	8.336648384765632e-08	8.5	261.0	1.0	0.3436398742415495	169	158378	[157701, 157703, 156691, 156199, 156718, 156208, 156723, 156215, 156224, 156228, 156748, 156241, 157271, 156760, 156763, 158308, 158315, 156268, 156269, 157294, 155761, 156786, 156789, 155766, 156803, 156297, 156305, 157342, 156329, 156853, 157372, 155848, 156872, 156362, 157400, 155902, 156927, 157953, 156425, 156937, 155919, 155409, 156436, 157464, 157485, 157999, 156465, 156480, 155460, 155982, 155985, 155482, 156511, 155494, 155502, 156016, 156551, 156553, 156556, 157591, 156579, 155556, 156581, 157107, 157619, 155573, 157628, 156616, 156622, 156636, 157661, 156644, 156647, 156651, 157166, 156655]	154536	154756	1.901261814217534	10.0	[155274, 154897, 155011, 155148, 155338, 155494, 155351, 155276, 155261, 154742, 155409, 155020, 155460, 155095, 154617, 155057, 155346, 154663, 155482, 154960, 154658, 155012, 154972, 154802, 155039, 155502, 154959, 155148, 154663, 155055, 155220, 155218, 155046, 154686, 154780, 154731, 154725, 154845, 155013, 154731, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154756, 155230, 154585, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154580]
2440	279286	0.0	5.0	122.0	1.0	0.3521845750402682	89	281008	[279687, 279817, 279435, 279947, 279440, 279322, 279202, 279208, 279857, 279860, 279350, 279863, 279493, 279625, 279636, 279901, 279908, 280037, 280164, 280041, 280170, 279276, 280044, 280045, 279792, 279409, 279288, 279411, 280180, 280567, 279416, 279419]	278763	279276	0.0	10.0	[279276, 279288, 279145, 278805, 278920, 279077, 279079, 278815, 279208, 278795, 278763, 279202, 278763, 278908, 279157, 279157, 279157, 279157, 279157, 278934, 278763, 278998, 278568, 278568, 278568, 278568, 279322, 279322, 278825, 278861, 278826, 278833, 279121, 278819, 278568, 278568, 278568, 278568, 278568, 278568, 278568, 278568, 278774, 278885, 279034, 278824, 278763, 279186, 278920, 279015, 278864, 278763, 279350, 279174, 278763, 278763, 279192, 278763, 278568, 278568, 278568, 278568, 278568, 278568, 278568, 278568, 278568]
3240	157107	8.351109190750514e-08	6.0	162.0	1.0	0.3562379674526185	68	159174	[157953, 157701, 157703, 157591, 157464, 157342, 157485, 157999, 158639, 157619, 157628, 157372, 157271, 157400, 157661, 158308, 158315, 157294, 157166]	156199	157661	1.7351864055133737	10.0	[155274, 155450, 156872, 156636, 156651, 156763, 155011, 155148, 156760, 156465, 155338, 155494, 156803, 156579, 156511, 155919, 156655, 156297, 156853, 156937, 156748, 155985, 155573, 156644, 156647, 156215, 156553, 156480, 156268, 154617, 156362, 156718, 156622, 156786, 156269, 156425, 156723, 156305, 157166, 156616, 156199, 156436, 155982, 156208, 156016, 154972, 156551, 156927, 156691, 156556, 155502, 155556, 156329, 155148, 156224, 155055, 156581, 155220, 155218, 156241, 156789, 154780, 154731, 154725, 154845, 155013, 154731, 155902, 154756, 155230, 154585, 154580]
380	350364	0.0	2.0	19.0	1.0	0.35955968875358574	114	351053	[350304, 350496, 350625, 350659, 350502, 350648, 350444, 350925, 350798, 350767, 350390, 350391, 350524, 350586, 350783]	349720	350925	1.0081285985619481	10.0	[350030, 348831, 349185, 349862, 349888, 349155, 349270, 350001, 350304, 348931, 349166, 348850, 350390, 350260, 349772, 350391, 350076, 349720, 349080, 349191, 349292, 350160, 350444, 349955, 349798, 350127, 348786]
640	158315	1.4172302254101575e-07	2.5	32.0	1.0	0.3603439750292753	175	159176	[158308, 158639]	158308	158308	1.181025187841798e-07	3.0	[158308, 155274, 155450, 157107, 157400, 156651, 157703, 157372, 157999, 155573, 157701, 157271, 156268, 157953, 157628, 156269, 156425, 157166, 157342, 156616, 157294, 156199, 157464, 155982, 156208, 156016, 154972, 156551, 157591, 156927, 156691, 157485, 156556, 156581, 156241, 156789, 155902, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661, 157661]
660	281906	1.4172302254101575e-07	2.5	33.0	1.0	0.3646233850135932	60	282767	[282340, 282364, 282438, 282695, 281868, 282478, 282416, 282387, 282326, 282359, 282360, 281852, 282077, 281887]	281323	281469	1.4487237932300774	8.5	[281563, 281711, 279276, 281611, 281401, 281852, 281887, 281868, 281619, 280041, 281381, 279687, 281565, 279860, 281323, 280567, 279901, 279792, 279863, 281632, 280037, 281602, 279409, 279947, 278861, 281508, 281469, 281680, 281812, 278763, 279350, 279625, 281686]
1000	232181	0.0	3.0	50.0	1.0	0.3667955552613503	69	233214	[232320, 232968, 232970, 232971, 232974, 232719, 232095, 233119, 232098, 233127, 232364, 233134, 232367, 232761, 232380, 232893, 232768, 232142, 232783, 232272, 232275, 232547, 232803, 232298, 232302, 232175, 232176, 233073, 232179, 232691, 232313, 232314, 232956]	231862	231862	1.3967115541146533	10.0	[232175, 232176, 232000, 232077, 231923, 232076, 232072, 231918, 231991, 231975, 232004, 231991, 232142, 232094, 232098, 232179, 232066, 232095, 232064, 232000, 231923, 231862]
1020	397543	0.0	3.0	51.0	1.0	0.37333311078350595	121	398576	[397464, 397748, 397517]	397377	397464	0.9009084329193668	3.5	[397404, 397517, 397455, 397420, 397377, 397464, 395793, 396011, 396299, 395842, 395055, 395396, 395228]
2460	184459	1.0021331028900617e-07	5.0	123.0	1.0	0.37512596550530364	63	186181	[184457, 184460, 184718, 185111, 184475, 184476, 184610, 184613, 184999, 184746, 184499, 184501, 184759, 184506, 184520, 184783, 184532, 184409, 184414, 184670, 184563, 184568, 184443, 184572, 184447]	181895	182486	1.3535728078407618	10.0	[184460, 183255, 182766, 183100, 182902, 183081, 183258, 183672, 183668, 182643, 183756, 184443, 184259, 183157, 183376, 184414, 184476, 184506, 183210, 182667, 184457, 184319, 184475, 184173, 184520, 183944, 184277, 183875, 184092, 184128, 183877, 184409, 184197, 183627, 184316, 184532, 184501, 182472, 183562, 183137, 181976, 183516, 182491, 183318, 183101, 183596, 183431, 184338, 182090, 181944, 182418, 182133, 183274, 182657, 183979, 183034, 184142, 183712, 184499, 182958, 182951, 182990, 183030, 182950, 182138, 181961, 182494, 182486, 182410, 182496, 182090, 182790, 182090, 184210, 182430, 182666, 182134, 182927, 184447, 184447, 184447, 184447, 184447, 184447, 184447, 184447, 184447, 184447, 181944, 184447, 184447, 184447, 184447, 184447, 184447, 184447, 184447, 184447]
2840	157400	1.288391114009234e-07	5.5	142.0	1.0	0.37603869307247595	68	159294	[157953, 158308, 157701, 157703, 157628, 158315, 157485, 157999, 158639, 157464, 157619, 157591, 157372, 157661, 157342]	156199	157661	1.7351864055133737	10.0	[155274, 155450, 157107, 156872, 156651, 156763, 155011, 155148, 156760, 155338, 155494, 156803, 156579, 156655, 156853, 156937, 157372, 156748, 155573, 156644, 157271, 156647, 156553, 156480, 156268, 156362, 156718, 156622, 156786, 156269, 156425, 156723, 156305, 157166, 157342, 156616, 157294, 156199, 157464, 156436, 155982, 156208, 156016, 154972, 156551, 156927, 156691, 157485, 156556, 155502, 156329, 155148, 156224, 155055, 156581, 155220, 155218, 156241, 156789, 154780, 154731, 154725, 154845, 155013, 154731, 155902, 154756, 155230, 154585, 154580]
1360	127265	0.0	3.5	68.0	1.0	0.376613306709885	44	128470	[128385, 127878, 128250, 127249, 128275, 127380, 127256, 128160, 127655, 127664, 128447, 127815, 127306, 128459, 128332, 127315, 127188, 127575, 127192, 127959, 127197, 127840, 127464, 127599, 127474, 127350, 128248, 127994, 127998]	127145	128861	1.114035423795082	10.0	[127306, 127249, 127197, 127188, 127192, 127160, 127256, 127145, 127315, 127197, 127350]
2480	257689	0.0	5.0	124.0	1.0	0.39038791626774894	173	259411	[257792, 257804, 257677, 257934, 258076, 258205, 257950, 258218, 257836, 257966, 257974, 258361, 258878, 257732, 258373, 258248, 258636, 257745, 258641, 257627, 257767, 257643, 257644, 258420, 257654]	257415	257415	1.2553233175798157	7.5	[257654, 257575, 257745, 257643, 257627, 257644, 257732, 256770, 257732, 257592, 257566, 256601, 257677, 256600, 256575, 257767, 257003, 257732, 256386, 257643, 257575, 257415]
680	139023	1.4172302254101575e-07	2.5	34.0	1.0	0.40545687742704595	180	139884	[139164]	139023	139164	1.0878071204515878	5.0	[138796]
1700	260551	0.0	4.0	85.0	1.0	0.4065425163565088	139	261929	[260965, 260552, 260522, 261035, 260652, 260557, 260718, 260625, 261171, 260692, 260533, 260948, 260535]	259612	259612	1.698616822668693	10.0	[260224, 260364, 259822, 259828, 259954, 260535, 260625, 260522, 260228, 259739, 260552, 259905, 260075, 260405, 260135, 259860, 260109, 259807, 260000, 260533, 259841, 259807, 259807, 260557, 259845, 259807, 259808, 259612, 259612, 259612, 259612, 259842, 259842, 259842, 259842, 259842, 259895, 259895, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259930, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612]
1040	22015	1.3204263015768592e-07	3.0	52.0	1.0	0.4068697159113381	164	23048	[22089, 22311]	22015	22015	1.3204263015768592e-07	3.0	[21186, 21137, 21483, 20818, 21780, 21351, 21372, 21479, 22089, 20618, 20555, 20627, 20181, 20824, 20127, 20761, 20127, 20638, 20127, 20417, 20589, 20530, 20072, 20652, 20470, 20813, 20013, 20167]
3260	154897	0.0	6.0	163.0	1.0	0.4149958882173234	169	156964	[155148, 156691, 156199, 156718, 156208, 156723, 156215, 156224, 156228, 156748, 156241, 155218, 155220, 156760, 156763, 155230, 156268, 156269, 155761, 156786, 156789, 155766, 155261, 156803, 156297, 155274, 155276, 156305, 156329, 156853, 155848, 156872, 156362, 155338, 155346, 155351, 154845, 155902, 156927, 156425, 156937, 155919, 155409, 156436, 156465, 155450, 156480, 155460, 155982, 154959, 154960, 155985, 155482, 154972, 156511, 155494, 155502, 156016, 155011, 155012, 155013, 156551, 156553, 156556, 155020, 155039, 156579, 155556, 156581, 155046, 155055, 155057, 155573, 156616, 156622, 155095, 156636, 156644, 156647, 156651, 156655]	154536	154756	1.901261814217534	10.0	[154742, 154617, 154663, 154960, 154658, 154972, 154802, 154959, 154663, 154686, 154780, 154731, 154725, 154845, 154731, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154756, 154585, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154536, 154580]
700	127306	0.0	2.5	35.0	1.0	0.415712889620218	44	128167	[127878, 127249, 127380, 127256, 128160, 127265, 127655, 127664, 127815, 127315, 127959, 127575, 127840, 127464, 127599, 127474, 127350, 127994, 127998]	127145	128861	1.114035423795082	10.0	[127265, 127265, 127265, 127249, 127197, 127265, 127188, 127192, 127160, 127265, 127265, 127256, 127265, 127380, 127145, 127315, 127197, 127350]
4440	400415	0.0	7.5	222.0	1.0	0.42215587582331743	35	402998	[401154, 401284, 401797, 401799, 400647, 401164, 400924, 400670, 401696, 400549, 401322, 401963, 400433, 401593, 401595, 401596, 400631, 400700, 400449, 400577, 400710, 401611, 401237, 400598, 401111, 400474, 400730, 401243, 401119, 400480, 400870, 400625, 400883, 401655, 402174]	399995	400118	1.5586622062410387	8.5	[400480, 400449, 399995, 400310, 400156, 400098, 400474, 400201, 400320, 400073, 400173, 400064, 400433, 400282, 400012, 400173, 400141, 400182, 400118, 400290]
740	41394	0.0	2.5	37.0	1.0	0.42218131042929635	51	42255	[41410, 41767, 41454, 41557, 41430, 41402]	39482	40425	1.8934975494246014	10.0	[40006, 40074, 39482, 40041, 40725, 40879, 40607, 39741, 41224, 41143, 40954, 40573, 41151, 40785, 40634, 40642, 41262, 40678, 41454, 41402, 40675, 41410, 40168, 39499, 41090, 40900, 41280, 40233, 39928, 40983, 41055, 40485, 40126, 40849, 39659, 41005, 40229, 39672, 39628, 40372, 40539, 40057, 41430, 40707, 39753, 39909, 40088, 41182, 40425, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40872, 40391, 40264]
1380	260224	0.0	3.5	69.0	1.0	0.4258815362235353	139	261429	[260228, 260965, 260551, 260552, 260522, 261035, 260364, 260557, 260652, 260718, 260625, 261171, 260692, 260405, 260533, 260535, 260948]	259612	259612	1.698616822668693	10.0	[259822, 259828, 259954, 260228, 259739, 259905, 260075, 260135, 259860, 260109, 259807, 260000, 259841, 259807, 259807, 259845, 259807, 259808, 259612, 259612, 259612, 259612, 259842, 259842, 259842, 259842, 259842, 259895, 259895, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259930, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612, 259612]
2860	88630	1.288391114009234e-07	5.5	143.0	1.0	0.4263320446003979	25	90524	[88544, 89189, 88646, 88774, 88871, 88902, 88938, 89034, 89066, 88951, 89967, 88946, 88627, 88565, 88854, 88601]	88267	88344	0.9352912253477	8.5	[88415, 88344, 88402, 88565, 88301, 88444, 88509, 88468, 88344, 88443, 88365, 88627, 88374, 88276, 88495, 88544, 88301, 88343, 88646, 88267, 88448, 88398, 88601, 87131, 88328, 88344, 87405, 87300, 88344, 88293, 87007, 87315, 88506, 87146, 88438, 88344, 86965, 87704, 88509, 88324, 88276, 88344]
760	115078	0.0	2.5	38.0	1.0	0.4300612674675937	190	115939	[115927]	115078	115078	0.0	2.5	[112538, 112730, 114615, 114472, 113573, 113701, 113154, 113299, 114376, 112247, 113496, 114185, 113640, 113225, 114398, 113711, 114589, 113884, 113258, 112474, 114206, 113811, 112530, 113885, 113886, 114171, 114317, 113707, 114466, 114074, 113536, 112102, 112494, 114217, 112496, 113684, 114389, 113690, 112606, 112478, 112620, 113560, 113641, 113140, 112773, 113908, 112717, 113218, 112494, 113643, 113164, 113935, 113846, 113357, 112982, 113225, 113517, 113570, 113719, 113700]
1720	283058	0.0	4.0	86.0	1.0	0.4412301397818888	143	284436	[283233, 283394, 283204, 283525, 283176, 283528, 283575]	282898	283176	1.5374398694586227	5.5	[282961, 282963, 281611, 281852, 281868, 281619, 281381, 281565, 281323, 281632, 281602, 282695, 282478, 282898, 282438, 281508, 281469, 281680, 281812, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282387, 282387, 282387, 282387, 282387, 282387, 282387, 282387, 282387, 282387, 282340, 282340, 282340, 282340, 282340, 282340, 282340, 282340, 282340, 282340, 282340, 282340, 282340, 282360, 282360, 282360, 282360, 282360, 282360, 282360, 282360, 282360, 282364, 282364, 282364, 282364, 282364, 282364, 282364, 282364, 282364, 282416, 282416, 282416, 282416, 282416, 282416, 282416, 282416, 282416, 282416, 281686]
1060	282961	1.181025187841798e-07	3.0	53.0	1.0	0.4424121447783646	143	283994	[283233, 283394, 283204, 283525, 283176, 283528, 283058, 282898, 282963, 283575]	282898	283176	1.5374398694586227	5.5	[282963, 281611, 281852, 281868, 281619, 281381, 281565, 281323, 281632, 281602, 282695, 282478, 282898, 282438, 281508, 281469, 281680, 281812, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282387, 282387, 282387, 282387, 282387, 282387, 282387, 282387, 282387, 282387, 282340, 282340, 282340, 282340, 282340, 282340, 282340, 282340, 282340, 282340, 282340, 282340, 282340, 282360, 282360, 282360, 282360, 282360, 282360, 282360, 282360, 282360, 282364, 282364, 282364, 282364, 282364, 282364, 282364, 282364, 282364, 282416, 282416, 282416, 282416, 282416, 282416, 282416, 282416, 282416, 282416, 281686]
3280	88415	0.0	6.0	164.0	1.0	0.4457195060092621	25	90482	[88448, 88468, 88854, 88343, 88344, 88601, 88871, 88365, 88495, 88627, 88374, 88630, 88506, 88509, 88646, 88774, 88902, 89034, 88398, 88402, 88544, 89189, 88938, 89066, 89967, 88946, 88565, 88438, 88951, 88443, 88444]	88267	88344	0.9352912253477	8.5	[88344, 88402, 88301, 88444, 88468, 88344, 88443, 88365, 88374, 88276, 88495, 88301, 88343, 88267, 88448, 88398, 87131, 88328, 88344, 87405, 87300, 88344, 88293, 87007, 87315, 87146, 88438, 88344, 86965, 87704, 88324, 88276, 88344]
4040	400480	0.0	7.0	202.0	1.0	0.44611014376608044	35	402891	[401154, 401284, 401797, 401799, 400647, 401164, 400924, 400670, 400415, 401696, 400549, 401322, 401963, 400433, 401593, 401595, 401596, 400631, 400700, 400449, 400577, 400710, 401611, 401237, 400598, 401111, 400474, 400730, 401243, 401119, 400870, 400625, 400883, 401655, 402174]	399995	400118	1.5586622062410387	8.5	[400415, 400449, 399995, 400310, 400549, 400156, 400098, 400474, 400201, 400320, 400073, 400173, 400064, 400433, 400282, 400012, 400173, 400141, 400182, 400118, 400290]
1740	285439	1.5341967227704283e-07	4.0	87.0	1.0	0.4465985159628903	58	286817	[285476, 285382, 285671, 285356]	285120	285120	2.170855665811448	6.5	[285315, 285326, 285272, 285476, 285382, 285356, 285247, 285238, 285315, 282478, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282326, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 282359, 285120, 285120, 285120, 285120, 285120, 285120, 285120, 285120, 285120, 285120]
4060	35566	0.0	7.0	203.0	1.0	0.44696671269739974	24	37977	[35584, 35848, 35849, 35863, 36890, 35483, 36255, 36000, 36385, 36770, 35493, 35494, 36520, 35626, 35754, 36652, 35765, 36405, 35639, 36088, 36544, 36546, 36427, 36047, 36560, 36832, 36453, 35692, 35695, 36599, 36216, 36092]	35221	35221	0.6282669081374476	8.0	[35382, 35483, 35447, 35431, 35425, 35394, 35626, 35425, 35639, 35221, 34800, 35425, 35357, 35493, 34588, 35425, 35382, 35425, 35351, 33879, 33808, 35494, 35584, 35425, 34671, 34472, 33934, 34715, 34093, 34683, 34269, 35333, 34266, 34426, 35425, 34818, 34900, 35425, 34228, 35395, 34404, 34575, 33813, 33841]
3640	88344	0.0	6.5	182.0	1.0	0.44879239099666796	25	90583	[88448, 88324, 88328, 88468, 88854, 88343, 88601, 88871, 88365, 88495, 88627, 88374, 88630, 88506, 88509, 88646, 88774, 88902, 89034, 88267, 88398, 88402, 88276, 88415, 88544, 88293, 89189, 88938, 89066, 88301, 89967, 88946, 88565, 88438, 88951, 88443, 88444]	88267	88344	0.9352912253477	8.5	[88415, 88402, 88301, 88365, 88374, 88276, 88301, 88343, 88267, 88398, 87131, 88328, 87405, 87300, 88293, 87007, 87315, 87146, 86965, 87704, 88324, 88276]
1080	287422	2.362050375683596e-07	3.0	54.0	1.0	0.4598188853062884	195	288455	[287424, 287714, 287628, 287565, 287916, 287567, 287408, 287475, 287476, 287861, 287611, 287484]	287408	287714	1.7589954592429164	9.0	[287475, 287476, 287424, 287408, 287484]
